GeoFips,City_Match,Cost_Of_Living_RPP,City_Label,Population,Median_Household_Income,High_Skill_Total,Real_Purchasing_Power,Education_Rate
38540,"Pocatello, ID",88.478,"Pocatello, ID",94216.0,56190.0,16619.0,63507.31,0.1764
38860,"Portland-South Portland, ME",101.865,"Portland-South Portland, ME",547792.0,77759.0,170888.0,76335.35,0.312
38900,"Portland-Vancouver-Hillsboro, OR-WA",105.407,"Portland-Vancouver-Hillsboro, OR-WA",2493429.0,82901.0,723648.0,78648.48,0.2902
38940,"Port St. Lucie, FL",98.485,"Port St. Lucie, FL",482922.0,62757.0,99394.0,63722.39,0.2058
39150,"Prescott Valley-Prescott, AZ",93.864,"Prescott Valley-Prescott, AZ",233789.0,56170.0,50231.0,59841.9,0.2149
39300,"Providence-Warwick, RI-MA",101.358,"Providence-Warwick, RI-MA",1668019.0,74422.0,389502.0,73424.89,0.2335
39340,"Provo-Orem-Lehi, UT",95.707,"Provo-Orem, UT",659913.0,82742.0,139160.0,86453.45,0.2109
39380,"Pueblo, CO",90.579,"Pueblo, CO",167453.0,53430.0,27215.0,58987.18,0.1625
39460,"Punta Gorda, FL",96.22,"Punta Gorda, FL",184837.0,57887.0,37650.0,60161.09,0.2037
39540,"Racine-Mount Pleasant, WI",92.165,"Racine, WI",197379.0,67224.0,36193.0,72938.75,0.1834
39580,"Raleigh-Cary, NC",97.598,"Raleigh-Cary, NC",1391801.0,83581.0,454417.0,85638.03,0.3265
39660,"Rapid City, SD",91.962,"Rapid City, SD",138268.0,63266.0,30305.0,68795.81,0.2192
39740,"Reading, PA",96.114,"Reading, PA",426967.0,69272.0,75301.0,72072.75,0.1764
39820,"Redding, CA",99.335,"Redding, CA",181935.0,61937.0,29041.0,62351.64,0.1596
39900,"Reno, NV",96.868,"Reno, NV",483805.0,74216.0,108893.0,76615.6,0.2251
40060,"Richmond, VA",97.968,"Richmond, VA",1303212.0,74592.0,353249.0,76139.15,0.2711
40140,"Riverside-San Bernardino-Ontario, CA",105.586,"Riverside-San Bernardino-Ontario, CA",4580402.0,73424.0,672023.0,69539.52,0.1467
40220,"Roanoke, VA",93.68,"Roanoke, VA",314501.0,60907.0,66820.0,65016.01,0.2125
40340,"Rochester, MN",91.945,"Rochester, MN",224330.0,80865.0,62563.0,87949.32,0.2789
